statefips,year,ajd_total,jdd_total,ajd_female,ajd_male,jdd_female,jdd_male,pop_total,pop_female,pop_male
5,1995,-11610,40631,-4734.011245846748,-4414.988989055157,15379.98787552118,17145.01270151138,2494019,1287005,1207014
6,1995,-30750,659256,-27714.79579210281,-7074.201776862144,278284.4960613251,343401.5255889893,31484435,15754100,15730335
8,1995,-24417,74580,-9003.256415858865,-8815.743636369705,22233.06243693829,25816.9365632534,3724168,1866595,1857573
9,1995,-1381,58970,-2916.054981946945,1222.055450439453,25315.00006103516,29771.99951171875,3316121,1711125,1604996
10,1995,-4332,13851,-1650.102828979492,-1281.897407531738,6768.171752929688,6293.828369140625,717545,368843,348702
11,1995,-4286,14965,-2453.156005859375,-1424.843994140625,7013.97021484375,6831.02978515625,589239,313077,276162
12,1995,-66057,293807,-34436.3307967633,-28829.66975915432,124786.1654008031,155720.8313593864,14239444,7323769,6915675
13,1995,-37021,142662,-15838.48007279634,-17329.51931804419,62468.58278027177,65175.41672587395,7157165,3669122,3488043
15,1995,-4634,23255,0,0,0,0,1187536,584367,603169
16,1995,-7818,14823,-3303.118332654238,-3600.881400346756,5987.808534622192,6970.191606283188,1145140,573420,571720
17,1995,-31583,201610,-19655.10658359528,-18303.89246587455,85010.08527565002,95638.91132450104,11912585,6108175,5804410
18,1995,-12544,92566,-6869.866580843925,-5418.13322609663,41529.67182421684,43677.32863903046,5793526,2972077,2821449
19,1995,-4145,41203,-2207.374509874731,-1885.625530183315,17527.64146906137,18442.35872650146,2850746,1462317,1388429
20,1995,-10673,38568,-4759.00560259819,-4770.994717746973,15723.15708684921,17404.84220743179,2580513,1310193,1270320
21,1995,-14901,49820,-5252.497820675373,-5434.501993596554,18558.12037920952,24540.87903535366,3849088,1979214,1869874
22,1995,-25815,56676,-10606.30574906617,-11229.69337272644,23937.22209072113,28220.77751994133,4347481,2249945,2097536
23,1995,-2202,18315,-1632.07569861412,-161.9242322444916,7854.917530059814,9537.082790374756,1242662,638678,603984
24,1995,-7527,87018,-4005.682858943939,-4936.317097663879,37681.8309803009,41428.16718292236,5023060,2591417,2431643
25,1995,-10883,114864,-7685.45626449585,-5563.543934822083,50557.09067153931,54968.90620040894,6095241,3164279,2930962
26,1995,-24117,152221,-13207.64651691914,-9514.353317826986,65233.46097898483,74570.5371632576,9597737,4917185,4680552
27,1995,-18642,73164,-7419.444313645363,-7935.555601119995,32715.03128290176,34444.96980428696,4610355,2340601,2269754
28,1995,-20810,32632,-5988.026976108551,-8412.972932850942,12821.44227099419,15126.55790114403,2688992,1397479,1291513
29,1995,-13529,92933,-5711.006884420291,-5862.992955803871,39814.32255315781,43136.67816948891,5324497,2750082,2574415
30,1995,-4417,10755,-2488.952859580517,-1391.047123432159,4326.880471944809,4750.119873762131,861306,433069,428237
31,1995,-5928,25197,-3385.775893222541,-2526.224122494459,10302.44225659966,11471.55864131451,1639041,836583,802458
32,1995,-13158,32470,-6151.828162670135,-6908.173251152039,14242.37252902985,16211.62819290161,1499298,736579,762719
33,1995,-4877,18842,-2494.350196838379,-2480.649833679199,7885.271324157715,9224.727645874023,1142560,582458,560102
34,1995,-3357,151990,-2098.070672988892,92.06955528259277,64963.5725479126,77920.42602539063,8014306,4135042,3879264
35,1995,-7118,23655,-2985.243235349655,-3269.756730079651,9601.121670842171,12135.8795671463,1682398,853406,828992
36,1995,-19902,314367,-16742.67958477139,-3785.320590615273,136188.6358647346,162088.3626127243,18459470,9579843,8879627
37,1995,-39119,105355,-16886.1129232049,-17380.88730224222,45995.86504530907,51750.13501858711,7187398,3695086,3492312
38,1995,-2539,7146,-706.8808596134186,-722.1190899610519,2739.482382893562,2963.517738103867,644804,322972,321832
39,1995,-46593,160768,-26667.41450896859,-21964.58513572067,69859.90820026398,76695.09122562408,11152454,5759942,5392512
40,1995,-10124,45376,-4603.23523837328,-4102.765021383762,19235.39008873701,21828.60941267014,3280940,1677174,1603766
41,1995,-23557,47580,-11163.64886045456,-9848.349824905396,21695.32909679413,24077.67089080811,3121264,1581153,1540111
42,1995,-1967,203642,-2092.334406614304,1851.33421599865,92331.690990448,98838.31018447876,12166050,6315789,5850261
44,1995,-4738,19134,-2155.034057378769,-3108.965560913086,8391.288024902344,9828.712432861328,1015960,528186,487774
45,1995,-21412,56643,-9198.080278992653,-11787.91883355379,24197.43745112419,28334.56261968613,3705397,1913704,1791693
46,1995,-4114,9438,-1159.22349691391,-1379.776443839073,3464.915668487549,3533.08437538147,730790,369667,361123
47,1995,-23313,96099,-9798.947784870863,-8563.052031286061,41293.11477470398,47219.88417577744,5231438,2703054,2528384
48,1995,-77230,337187,-33713.68426144123,-34053.31530082226,143753.1121766567,170264.8803466558,18564062,9394218,9169844
49,1995,-11962,31849,-4827.280029177666,-6062.720134735107,13845.95397090912,15773.04629135132,1960446,982769,977677
50,1995,-494,8935,-699.1987812519073,252.1986999511719,3789.909621953964,4634.090088367462,583836,297658,286178
